node,dx,dy,tile,px,py,c_o,dim,time
2,128,2,1060,4,2,c,1,0.134
2,128,2,1414,8,1,o,1,0.18
2,128,2,1414,4,2,c,1,0.201
2,256,1,1767,8,1,o,1,0.273
2,256,1,1767,4,2,c,1,0.383
2,256,1,70,8,1,o,1,0.039
2,256,1,70,4,2,c,1,0.057
2,256,1,141,8,1,o,1,0.039
2,256,1,141,4,2,c,1,0.057
2,256,1,353,8,1,o,1,0.036
2,256,1,353,4,2,c,1,0.056
2,256,1,707,8,1,o,1,0.061
2,256,1,707,4,2,c,1,0.086
2,256,1,1060,8,1,o,1,0.111
2,256,1,1060,4,2,c,1,0.154
2,256,1,1414,8,1,o,1,0.18
2,256,1,1414,4,2,c,1,0.242
4,1,256,2500,1,16,o,1,0.27
4,1,256,2500,4,4,c,1,0.298
4,1,256,100,1,16,o,1,0.049
4,1,256,100,4,4,c,1,0.086
4,1,256,200,1,16,o,1,0.049
4,1,256,200,4,4,c,1,0.086
4,1,256,500,1,16,o,1,0.048
4,1,256,500,4,4,c,1,0.085
4,1,256,1000,1,16,o,1,0.066
4,1,256,1000,4,4,c,1,0.091
4,1,256,1500,1,16,o,1,0.116
4,1,256,1500,4,4,c,1,0.141
4,1,256,2000,1,16,o,1,0.1845
4,1,256,2000,4,4,c,1,0.211
4,2,128,2500,1,16,o,1,0.269
4,2,128,2500,4,4,c,1,0.293
4,2,128,100,1,16,o,1,0.049
4,2,128,100,4,4,c,1,0.086
4,2,128,200,1,16,o,1,0.049
4,2,128,200,4,4,c,1,0.086
4,2,128,500,1,16,o,1,0.048
4,2,128,500,4,4,c,1,0.085
4,2,128,1000,1,16,o,1,0.067
4,2,128,1000,4,4,c,1,0.088
4,2,128,1500,1,16,o,1,0.116
4,2,128,1500,4,4,c,1,0.138
4,2,128,2000,1,16,o,1,0.184
4,2,128,2000,4,4,c,1,0.208
4,4,64,2500,1,16,o,1,0.27
4,4,64,2500,4,4,c,1,0.29
4,4,64,100,1,16,o,1,0.049
4,4,64,100,4,4,c,1,0.086
4,4,64,200,1,16,o,1,0.049
4,4,64,200,4,4,c,1,0.086
4,4,64,500,1,16,o,1,0.048
4,4,64,500,4,4,c,1,0.086
4,4,64,1000,1,16,o,1,0.0665
4,4,64,1000,4,4,c,1,0.087
4,4,64,1500,1,16,o,1,0.117
4,4,64,1500,4,4,c,1,0.137
4,4,64,2000,1,16,o,1,0.185
4,4,64,2000,4,4,c,1,0.206
4,8,32,2500,2,8,o,1,0.279
4,8,32,2500,4,4,c,1,0.29
4,8,32,100,2,8,o,1,0.064
4,8,32,100,4,4,c,1,0.086
4,8,32,200,2,8,o,1,0.0645
4,8,32,200,4,4,c,1,0.086
4,8,32,500,2,8,o,1,0.0635
4,8,32,500,4,4,c,1,0.086
4,8,32,1000,2,8,o,1,0.076
4,8,32,1000,4,4,c,1,0.087
4,8,32,1500,2,8,o,1,0.126
4,8,32,1500,4,4,c,1,0.136
4,8,32,2000,2,8,o,1,0.194
4,8,32,2000,4,4,c,1,0.205
4,16,16,2500,4,4,o,1,0.291
4,16,16,2500,4,4,o,2,0.2805
4,16,16,2500,4,4,c,1,0.291
4,16,16,100,4,4,o,1,0.086
4,16,16,100,4,4,o,2,0.064
4,16,16,100,4,4,c,1,0.086
4,16,16,200,4,4,o,1,0.087
4,16,16,200,4,4,o,2,0.064
4,16,16,200,4,4,c,1,0.0865
4,16,16,500,4,4,o,1,0.085
4,16,16,500,4,4,o,2,0.063
4,16,16,500,4,4,c,1,0.08549999999999999
4,16,16,1000,4,4,o,1,0.088
4,16,16,1000,4,4,o,2,0.077
4,16,16,1000,4,4,c,1,0.087
4,16,16,1500,4,4,o,1,0.138
4,16,16,1500,4,4,o,2,0.127
4,16,16,1500,4,4,c,1,0.138
4,16,16,2000,4,4,o,1,0.207
4,16,16,2000,4,4,o,2,0.196
4,16,16,2000,4,4,c,1,0.207
4,32,8,2500,8,2,o,1,0.281
4,32,8,2500,8,2,o,2,0.279
4,32,8,2500,4,4,c,1,0.294
4,32,8,100,8,2,o,1,0.067
4,32,8,100,8,2,o,2,0.065
4,32,8,100,4,4,c,1,0.086
4,32,8,200,8,2,o,1,0.068
4,32,8,200,8,2,o,2,0.065
4,32,8,200,4,4,c,1,0.086
4,32,8,500,8,2,o,1,0.067
4,32,8,500,8,2,o,2,0.063
4,32,8,500,4,4,c,1,0.086
4,32,8,1000,8,2,o,1,0.078
4,32,8,1000,8,2,o,2,0.076
4,32,8,1000,4,4,c,1,0.089
4,32,8,1500,8,2,o,1,0.129
4,32,8,1500,8,2,o,2,0.126
4,32,8,1500,4,4,c,1,0.14
4,32,8,2000,8,2,o,1,0.197
4,32,8,2000,8,2,o,2,0.194
4,32,8,2000,4,4,c,1,0.2095
4,64,4,2500,16,1,o,1,0.27
4,64,4,2500,4,4,c,1,0.308
4,64,4,100,16,1,o,1,0.049
4,64,4,100,4,4,c,1,0.086
4,64,4,200,16,1,o,1,0.049
4,64,4,200,4,4,c,1,0.086
4,64,4,500,16,1,o,1,0.048
4,64,4,500,4,4,c,1,0.086
4,64,4,1000,16,1,o,1,0.067
4,64,4,1000,4,4,c,1,0.092
4,64,4,1500,16,1,o,1,0.1165
4,64,4,1500,4,4,c,1,0.146
4,64,4,2000,16,1,o,1,0.185
4,64,4,2000,4,4,c,1,0.219
4,128,2,2500,16,1,o,1,0.269
4,128,2,2500,4,4,c,1,0.371
4,128,2,100,16,1,o,1,0.049
4,128,2,100,4,4,c,1,0.086
4,128,2,200,16,1,o,1,0.049
4,128,2,200,4,4,c,1,0.086
4,128,2,500,16,1,o,1,0.048
4,128,2,500,4,4,c,1,0.085
4,128,2,1000,16,1,o,1,0.067
4,128,2,1000,4,4,c,1,0.102
4,128,2,1500,16,1,o,1,0.116
4,128,2,1500,4,4,c,1,0.1675
4,128,2,2000,16,1,o,1,0.185
4,128,2,2000,4,4,c,1,0.255
4,256,1,2500,16,1,o,1,0.269
4,256,1,2500,4,4,c,1,0.577
4,256,1,100,16,1,o,1,0.049
4,256,1,100,4,4,c,1,0.086
4,256,1,200,16,1,o,1,0.049
4,256,1,200,4,4,c,1,0.086
4,256,1,500,16,1,o,1,0.048
4,256,1,500,4,4,c,1,0.085
4,256,1,1000,16,1,o,1,0.0665
4,256,1,1000,4,4,c,1,0.131
4,256,1,1500,16,1,o,1,0.116
4,256,1,1500,4,4,c,1,0.219
4,256,1,2000,16,1,o,1,0.184
4,256,1,2000,4,4,c,1,0.364
8,1,256,3535,1,32,o,1,0.3485
8,1,256,3535,8,4,c,1,0.3495
8,1,256,141,1,32,o,1,0.054
8,1,256,141,8,4,c,1,0.098
8,1,256,282,1,32,o,1,0.055
