node,dx,dy,tile,px,py,c_o,dim,time
2,32,8,353,4,2,o,2,0.045
2,32,8,353,4,2,c,1,0.055
2,32,8,707,4,2,o,1,0.08
2,32,8,707,4,2,o,2,0.073
2,32,8,707,4,2,c,1,0.08
2,32,8,1060,4,2,o,1,0.141
2,32,8,1060,4,2,o,2,0.133
2,32,8,1060,4,2,c,1,0.141
2,32,8,1414,4,2,o,1,0.228
2,32,8,1414,4,2,o,2,0.2175
2,32,8,1414,4,2,c,1,0.228
2,32,8,1767,4,2,o,1,0.332
2,32,8,1767,4,2,o,2,0.3195
2,32,8,1767,4,2,c,1,0.332
2,64,4,70,8,1,o,1,0.039
2,64,4,70,4,2,c,1,0.057
2,64,4,141,8,1,o,1,0.039
2,64,4,141,4,2,c,1,0.057
2,64,4,353,8,1,o,1,0.037
2,64,4,353,4,2,c,1,0.055
2,64,4,707,8,1,o,1,0.069
2,64,4,707,4,2,c,1,0.085
2,64,4,1060,8,1,o,1,0.127
2,64,4,1060,4,2,c,1,0.15
2,64,4,1414,8,1,o,1,0.212
2,64,4,1414,4,2,c,1,0.243
2,64,4,1767,8,1,o,1,0.313
2,64,4,1767,4,2,c,1,0.353
2,128,2,70,8,1,o,1,0.039
2,128,2,70,4,2,c,1,0.057
2,128,2,141,8,1,o,1,0.039
2,128,2,141,4,2,c,1,0.057
2,128,2,353,8,1,o,1,0.037
2,128,2,353,4,2,c,1,0.056
2,128,2,707,8,1,o,1,0.068
2,128,2,707,4,2,c,1,0.098
2,128,2,1060,8,1,o,1,0.129
2,128,2,1060,4,2,c,1,0.171
2,128,2,1414,8,1,o,1,0.2135
2,128,2,1414,4,2,c,1,0.272
2,128,2,1767,8,1,o,1,0.316
2,128,2,1767,4,2,c,1,0.424
2,256,1,70,8,1,o,1,0.039
2,256,1,70,4,2,c,1,0.057
2,256,1,141,8,1,o,1,0.039
2,256,1,141,4,2,c,1,0.057
2,256,1,353,8,1,o,1,0.037
2,256,1,353,4,2,c,1,0.065
2,256,1,707,8,1,o,1,0.069
2,256,1,707,4,2,c,1,0.125
2,256,1,1060,8,1,o,1,0.129
2,256,1,1060,4,2,c,1,0.296
2,256,1,1414,8,1,o,1,0.216
2,256,1,1414,4,2,c,1,0.61
2,256,1,1767,8,1,o,1,0.3585
2,256,1,1767,4,2,c,1,0.956
4,1,256,100,1,16,o,1,0.048
4,1,256,100,4,4,c,1,0.085
4,1,256,200,1,16,o,1,0.049
4,1,256,200,4,4,c,1,0.085
4,1,256,500,1,16,o,1,0.048
4,1,256,500,4,4,c,1,0.085
4,1,256,1000,1,16,o,1,0.075
4,1,256,1000,4,4,c,1,0.101
4,1,256,1500,1,16,o,1,0.135
4,1,256,1500,4,4,c,1,0.164
4,1,256,2000,1,16,o,1,0.22
4,1,256,2000,4,4,c,1,0.253
4,1,256,2500,1,16,o,1,0.37
4,1,256,2500,4,4,c,1,0.4
4,2,128,100,1,16,o,1,0.048
4,2,128,100,4,4,c,1,0.086
4,2,128,200,1,16,o,1,0.049
4,2,128,200,4,4,c,1,0.085
4,2,128,500,1,16,o,1,0.048
4,2,128,500,4,4,c,1,0.085
4,2,128,1000,1,16,o,1,0.075
4,2,128,1000,4,4,c,1,0.099
4,2,128,1500,1,16,o,1,0.135
